File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
VNP13A1_001__500_m_16_days_NDVI_doy2022273_aid0001,_500_m_16_days_NDVI,aid0001,2022-09-30,1003104.0,-0.4752,0.9313,"(-0.4752,0.9313)",0.5016928,0.1437683,0.0206693,0.6076,0.9313,0.4868,0.0627,0.3895
VNP13A1_001__500_m_16_days_NDVI_doy2022281_aid0001,_500_m_16_days_NDVI,aid0001,2022-10-08,1003108.0,-0.4752,0.8953,"(-0.4752,0.8953)",0.4495132,0.1301573,0.0169409,0.5423,0.8333,0.4255,0.0578,0.3483
VNP13A1_001__500_m_16_days_NDVI_doy2022289_aid0001,_500_m_16_days_NDVI,aid0001,2022-10-16,1003102.0,-0.5749,0.8702,"(-0.5749,0.8702)",0.3866456,0.1116868,0.0124739,0.4601,0.702,0.3633,0.059,0.2988
VNP13A1_001__500_m_16_days_NDVI_doy2022297_aid0001,_500_m_16_days_NDVI,aid0001,2022-10-24,1003100.0,-0.5695,0.8627,"(-0.5695,0.8627)",0.3648216,0.1111959,0.0123645,0.4392,0.6784,0.3287,0.0408,0.2797
VNP13A1_001__500_m_16_days_NDVI_doy2022305_aid0001,_500_m_16_days_NDVI,aid0001,2022-11-01,1003100.0,-0.5917,0.9962,"(-0.5917,0.9962)",0.3475879,0.1091378,0.0119111,0.4131,0.6294,0.309,0.0526,0.2689
VNP13A1_001__500_m_16_days_NDVI_doy2022313_aid0001,_500_m_16_days_NDVI,aid0001,2022-11-09,1003108.0,-0.618,0.9881,"(-0.618,0.9881)",0.3072358,0.0999889,0.0099978,0.3626,0.5406,0.278,0.0659,0.2439
VNP13A1_001__500_m_16_days_NDVI_doy2022321_aid0001,_500_m_16_days_NDVI,aid0001,2022-11-17,1003105.0,-0.618,0.8494,"(-0.618,0.8494)",0.3107317,0.0908469,0.0082532,0.3617,0.53,0.2803,0.0812,0.2495
VNP13A1_001__500_m_16_days_NDVI_doy2022329_aid0001,_500_m_16_days_NDVI,aid0001,2022-11-25,1003098.0,-0.5906,0.8494,"(-0.5906,0.8494)",0.306063,0.0847954,0.0071903,0.3534,0.5095,0.2781,0.0933,0.2493
VNP13A1_001__500_m_16_days_NDVI_doy2022337_aid0001,_500_m_16_days_NDVI,aid0001,2022-12-03,1003102.0,-0.6457,0.8342,"(-0.6457,0.8342)",0.2863243,0.1056963,0.0111717,0.3441,0.4995,0.2699,0.0853,0.2405
VNP13A1_001__500_m_16_days_NDVI_doy2022345_aid0001,_500_m_16_days_NDVI,aid0001,2022-12-11,1003108.0,-0.6898,0.9492,"(-0.6898,0.9492)",0.1630305,0.1544587,0.0238575,0.2829,0.6674,0.0775,-0.3589,0.0261
VNP13A1_001__500_m_16_days_NDVI_doy2022353_aid0001,_500_m_16_days_NDVI,aid0001,2022-12-19,1003103.0,-0.5452,0.9803,"(-0.5452,0.9803)",0.1683956,0.1447881,0.0209636,0.2709,0.6408,0.1924,-0.3453,0.0241
VNP13A1_001__500_m_16_days_NDVI_doy2022361_aid0001,_500_m_16_days_NDVI,aid0001,2022-12-27,1003108.0,-0.5223,0.9408,"(-0.5223,0.9408)",0.1816755,0.1446322,0.0209185,0.2836,0.6662,0.2159,-0.3532,0.0284
VNP13A1_001__500_m_16_days_NDVI_doy2023001_aid0001,_500_m_16_days_NDVI,aid0001,2023-01-01,1003100.0,-0.5223,0.9915,"(-0.5223,0.9915)",0.1837827,0.1458511,0.0212726,0.2897,0.6849,0.2193,-0.3688,0.0251
VNP13A1_001__500_m_16_days_NDVI_doy2023009_aid0001,_500_m_16_days_NDVI,aid0001,2023-01-09,1003105.0,-0.5035,0.9941,"(-0.5035,0.9941)",0.17317,0.1486386,0.0220934,0.2828,0.6928,0.2184,-0.4,0.0094
VNP13A1_001__500_m_16_days_NDVI_doy2023017_aid0001,_500_m_16_days_NDVI,aid0001,2023-01-17,1003101.0,-0.6046,0.9838,"(-0.6046,0.9838)",0.0541387,0.1162912,0.0135236,0.0554,0.1655,-0.0009,-0.1277,-0.018
VNP13A1_001__500_m_16_days_NDVI_doy2023025_aid0001,_500_m_16_days_NDVI,aid0001,2023-01-25,1003104.0,-0.6046,0.7687,"(-0.6046,0.7687)",0.1345465,0.151457,0.0229392,0.2669,0.6787,0.135,-0.441,-0.0164
VNP13A1_001__500_m_16_days_NDVI_doy2023033_aid0001,_500_m_16_days_NDVI,aid0001,2023-02-02,1003102.0,-0.6644,0.9558,"(-0.6644,0.9558)",0.1819994,0.137188,0.0188205,0.2795,0.6023,0.2167,-0.262,0.0629
VNP13A1_001__500_m_16_days_NDVI_doy2023041_aid0001,_500_m_16_days_NDVI,aid0001,2023-02-10,1003099.0,-0.6644,0.9967,"(-0.6644,0.9967)",0.2148488,0.1124792,0.0126516,0.2861,0.4862,0.2347,-0.0474,0.1527
VNP13A1_001__500_m_16_days_NDVI_doy2023049_aid0001,_500_m_16_days_NDVI,aid0001,2023-02-18,1003108.0,-0.5941,0.9556,"(-0.5941,0.9556)",0.2397439,0.0992418,0.0098489,0.2932,0.4075,0.2549,0.1027,0.217
VNP13A1_001__500_m_16_days_NDVI_doy2023057_aid0001,_500_m_16_days_NDVI,aid0001,2023-02-26,1003100.0,-0.5951,0.9556,"(-0.5951,0.9556)",0.2430665,0.1008957,0.01018,0.2947,0.3992,0.2572,0.1205,0.225
VNP13A1_001__500_m_16_days_NDVI_doy2023065_aid0001,_500_m_16_days_NDVI,aid0001,2023-03-06,1003099.0,-0.6434,0.7483,"(-0.6434,0.7483)",0.2505084,0.0924038,0.0085385,0.2953,0.407,0.2503,0.1091,0.2208
VNP13A1_001__500_m_16_days_NDVI_doy2023073_aid0001,_500_m_16_days_NDVI,aid0001,2023-03-14,1003099.0,-0.6148,0.7661,"(-0.6148,0.7661)",0.2713283,0.0799418,0.0063907,0.3093,0.4149,0.2663,0.1333,0.2389
VNP13A1_001__500_m_16_days_NDVI_doy2023081_aid0001,_500_m_16_days_NDVI,aid0001,2023-03-22,1003100.0,-0.4986,0.8171,"(-0.4986,0.8171)",0.2865513,0.081364,0.0066201,0.324,0.4434,0.2718,0.125,0.2444
VNP13A1_001__500_m_16_days_NDVI_doy2023089_aid0001,_500_m_16_days_NDVI,aid0001,2023-03-30,1003105.0,-0.4834,0.8572,"(-0.4834,0.8572)",0.3073138,0.0892359,0.007963,0.3546,0.5113,0.2813,0.0934,0.2501
VNP13A1_001__500_m_16_days_NDVI_doy2023097_aid0001,_500_m_16_days_NDVI,aid0001,2023-04-07,1003102.0,-0.4834,0.8615,"(-0.4834,0.8615)",0.316515,0.0956818,0.009155,0.3669,0.5386,0.2855,0.0807,0.2524
VNP13A1_001__500_m_16_days_NDVI_doy2023105_aid0001,_500_m_16_days_NDVI,aid0001,2023-04-15,1003102.0,-0.4098,0.935,"(-0.4098,0.935)",0.3622685,0.1221819,0.0149284,0.4376,0.6827,0.32,0.0291,0.2742
VNP13A1_001__500_m_16_days_NDVI_doy2023113_aid0001,_500_m_16_days_NDVI,aid0001,2023-04-23,1003099.0,-0.4098,0.9108,"(-0.4098,0.9108)",0.385204,0.130358,0.0169932,0.4717,0.7471,0.3404,0.0127,0.2881
VNP13A1_001__500_m_16_days_NDVI_doy2023121_aid0001,_500_m_16_days_NDVI,aid0001,2023-05-01,1003102.0,-0.364,0.9167,"(-0.364,0.9167)",0.3991306,0.1373387,0.0188619,0.4916,0.789,0.3507,-0.0041,0.2933
VNP13A1_001__500_m_16_days_NDVI_doy2023129_aid0001,_500_m_16_days_NDVI,aid0001,2023-05-09,1003108.0,-0.3005,0.9878,"(-0.3005,0.9878)",0.4485783,0.1772091,0.0314031,0.5786,0.9878,0.3937,-0.1037,0.3056
VNP13A1_001__500_m_16_days_NDVI_doy2023137_aid0001,_500_m_16_days_NDVI,aid0001,2023-05-17,1003099.0,-0.3584,0.9437,"(-0.3584,0.9437)",0.4587983,0.1781305,0.0317305,0.5882,0.9437,0.4033,-0.0969,0.3141
VNP13A1_001__500_m_16_days_NDVI_doy2023145_aid0001,_500_m_16_days_NDVI,aid0001,2023-05-25,1003098.0,-0.3632,0.9437,"(-0.3632,0.9437)",0.4795943,0.1748876,0.0305857,0.6085,0.9437,0.4401,-0.0853,0.3307
VNP13A1_001__500_m_16_days_NDVI_doy2023153_aid0001,_500_m_16_days_NDVI,aid0001,2023-06-02,1003103.0,-0.2902,0.9987,"(-0.2902,0.9987)",0.5882869,0.1400734,0.0196205,0.6899,0.9887,0.5872,0.1874,0.4889
VNP13A1_001__500_m_16_days_NDVI_doy2023161_aid0001,_500_m_16_days_NDVI,aid0001,2023-06-10,1003102.0,-0.2977,0.9926,"(-0.2977,0.9926)",0.6498403,0.1457709,0.0212492,0.7634,0.9926,0.6663,0.2377,0.5531
VNP13A1_001__500_m_16_days_NDVI_doy2023169_aid0001,_500_m_16_days_NDVI,aid0001,2023-06-18,1003102.0,-0.2423,0.9986,"(-0.2423,0.9986)",0.7547989,0.1223496,0.0149694,0.845,0.9986,0.7779,0.4568,0.6897
VNP13A1_001__500_m_16_days_NDVI_doy2023177_aid0001,_500_m_16_days_NDVI,aid0001,2023-06-26,1003097.0,-0.2088,0.9967,"(-0.2088,0.9967)",0.8214568,0.0975535,0.0095167,0.8887,0.9967,0.8414,0.6157,0.7795
VNP13A1_001__500_m_16_days_NDVI_doy2023185_aid0001,_500_m_16_days_NDVI,aid0001,2023-07-04,1003103.0,-0.1856,0.9967,"(-0.1856,0.9967)",0.8206681,0.1003083,0.0100618,0.8893,0.9967,0.8422,0.6168,0.7803
VNP13A1_001__500_m_16_days_NDVI_doy2023193_aid0001,_500_m_16_days_NDVI,aid0001,2023-07-12,1003102.0,-0.2042,0.9993,"(-0.2042,0.9993)",0.8267084,0.1220815,0.0149039,0.9026,0.9993,0.8669,0.6561,0.804
VNP13A1_001__500_m_16_days_NDVI_doy2023201_aid0001,_500_m_16_days_NDVI,aid0001,2023-07-20,1003097.0,-0.2937,0.9993,"(-0.2937,0.9993)",0.8491816,0.0918023,0.0084277,0.9071,0.9993,0.8736,0.6889,0.8198
VNP13A1_001__500_m_16_days_NDVI_doy2023209_aid0001,_500_m_16_days_NDVI,aid0001,2023-07-28,1003101.0,-0.3523,0.9937,"(-0.3523,0.9937)",0.8576118,0.0923933,0.0085365,0.9152,0.9937,0.8836,0.7017,0.8298
VNP13A1_001__500_m_16_days_NDVI_doy2023217_aid0001,_500_m_16_days_NDVI,aid0001,2023-08-05,1003105.0,-0.4294,0.9987,"(-0.4294,0.9987)",0.8697379,0.0831348,0.0069114,0.9176,0.9987,0.8906,0.7424,0.8475
VNP13A1_001__500_m_16_days_NDVI_doy2023225_aid0001,_500_m_16_days_NDVI,aid0001,2023-08-13,1003100.0,-0.4294,0.9987,"(-0.4294,0.9987)",0.8657356,0.0848372,0.0071974,0.9154,0.9987,0.8873,0.7327,0.8423
VNP13A1_001__500_m_16_days_NDVI_doy2023233_aid0001,_500_m_16_days_NDVI,aid0001,2023-08-21,1003099.0,-0.3668,0.9969,"(-0.3668,0.9969)",0.7726137,0.1019433,0.0103924,0.8444,0.9969,0.7918,0.5397,0.7225
VNP13A1_001__500_m_16_days_NDVI_doy2023241_aid0001,_500_m_16_days_NDVI,aid0001,2023-08-29,1003108.0,-0.3668,0.9603,"(-0.3668,0.9603)",0.767359,0.1031443,0.0106388,0.8405,0.9603,0.7871,0.53,0.7163
VNP13A1_001__500_m_16_days_NDVI_doy2023249_aid0001,_500_m_16_days_NDVI,aid0001,2023-09-06,1003106.0,-0.3574,0.9834,"(-0.3574,0.9834)",0.6405514,0.1220696,0.014901,0.7331,0.9834,0.6503,0.2916,0.5565
VNP13A1_001__500_m_16_days_NDVI_doy2023257_aid0001,_500_m_16_days_NDVI,aid0001,2023-09-14,1003097.0,-0.3968,0.9955,"(-0.3968,0.9955)",0.5736597,0.1294789,0.0167648,0.6709,0.9511,0.5686,0.193,0.4796
VNP13A1_001__500_m_16_days_NDVI_doy2023265_aid0001,_500_m_16_days_NDVI,aid0001,2023-09-22,1003103.0,-0.518,0.9413,"(-0.518,0.9413)",0.4730614,0.1381618,0.0190887,0.5767,0.8987,0.4447,0.04,0.362
VNP13A1_001__500_m_16_days_NDVI_doy2023273_aid0001,_500_m_16_days_NDVI,aid0001,2023-09-30,1003099.0,-0.518,0.9204,"(-0.518,0.9204)",0.4691345,0.1403095,0.0196868,0.5762,0.8993,0.4365,0.0282,0.3568
VNP13A1_001__500_m_16_days_NDVI_doy2023281_aid0001,_500_m_16_days_NDVI,aid0001,2023-10-08,1003103.0,-0.489,0.9086,"(-0.489,0.9086)",0.4292921,0.1405447,0.0197528,0.5337,0.8625,0.3952,-0.0141,0.3145
VNP13A1_001__500_m_16_days_NDVI_doy2023289_aid0001,_500_m_16_days_NDVI,aid0001,2023-10-16,1003099.0,-0.5086,0.9086,"(-0.5086,0.9086)",0.3960456,0.1316838,0.0173406,0.4974,0.8122,0.3592,-0.0271,0.2875
VNP13A1_001__500_m_16_days_NDVI_doy2023297_aid0001,_500_m_16_days_NDVI,aid0001,2023-10-24,1003105.0,-0.5118,0.8817,"(-0.5118,0.8817)",0.368337,0.1187539,0.0141025,0.4534,0.7195,0.3294,0.0099,0.276
VNP13A1_001__500_m_16_days_NDVI_doy2023305_aid0001,_500_m_16_days_NDVI,aid0001,2023-11-01,1003108.0,-0.639,0.8734,"(-0.639,0.8734)",0.3694688,0.113303,0.0128376,0.4533,0.7137,0.3335,0.0194,0.2797
VNP13A1_001__500_m_16_days_NDVI_doy2023313_aid0001,_500_m_16_days_NDVI,aid0001,2023-11-09,1003103.0,-0.5913,0.8734,"(-0.5913,0.8734)",0.3617545,0.1056426,0.0111604,0.438,0.6759,0.3278,0.0418,0.2794
VNP13A1_001__500_m_16_days_NDVI_doy2023321_aid0001,_500_m_16_days_NDVI,aid0001,2023-11-17,1003108.0,-0.6009,0.8726,"(-0.6009,0.8726)",0.336973,0.0905124,0.0081925,0.3938,0.5756,0.3092,0.0908,0.2726
VNP13A1_001__500_m_16_days_NDVI_doy2023329_aid0001,_500_m_16_days_NDVI,aid0001,2023-11-25,1003106.0,-0.6605,0.8531,"(-0.6605,0.8531)",0.3290302,0.0876536,0.0076832,0.3818,0.5484,0.3045,0.1041,0.2707
VNP13A1_001__500_m_16_days_NDVI_doy2023337_aid0001,_500_m_16_days_NDVI,aid0001,2023-12-03,1003099.0,-0.6392,0.8531,"(-0.6392,0.8531)",0.3332541,0.0870444,0.0075767,0.3882,0.5626,0.3069,0.0975,0.2719
VNP13A1_001__500_m_16_days_NDVI_doy2023345_aid0001,_500_m_16_days_NDVI,aid0001,2023-12-11,1003104.0,-0.594,0.8447,"(-0.594,0.8447)",0.3279929,0.0846615,0.0071676,0.3789,0.543,0.302,0.1054,0.2695
VNP13A1_001__500_m_16_days_NDVI_doy2023353_aid0001,_500_m_16_days_NDVI,aid0001,2023-12-19,1003108.0,-0.6425,0.9948,"(-0.6425,0.9948)",0.3045461,0.0908805,0.0082593,0.356,0.4998,0.2916,0.1163,0.2601
VNP13A1_001__500_m_16_days_NDVI_doy2023361_aid0001,_500_m_16_days_NDVI,aid0001,2023-12-27,1003102.0,-0.6425,0.9952,"(-0.6425,0.9952)",0.277609,0.1159328,0.0134404,0.3423,0.4818,0.2817,0.1098,0.2493
VNP13A1_001__500_m_16_days_NDVI_doy2024001_aid0001,_500_m_16_days_NDVI,aid0001,2024-01-01,1003105.0,-0.4973,0.9961,"(-0.4973,0.9961)",0.2127502,0.1579287,0.0249415,0.3179,0.7684,0.2637,-0.4334,0.0168
VNP13A1_001__500_m_16_days_NDVI_doy2024009_aid0001,_500_m_16_days_NDVI,aid0001,2024-01-09,1003100.0,-0.1731,0.4345,"(-0.1731,0.4345)",0.0034878,0.0234689,0.0005508,0.012,0.0471,-0.0019,-0.0465,-0.0114
VNP13A1_001__500_m_16_days_NDVI_doy2024017_aid0001,_500_m_16_days_NDVI,aid0001,2024-01-17,1003097.0,-0.5432,0.8109,"(-0.5432,0.8109)",0.1645266,0.1265159,0.0160063,0.2632,0.5943,0.1767,-0.2887,0.0419
VNP13A1_001__500_m_16_days_NDVI_doy2024025_aid0001,_500_m_16_days_NDVI,aid0001,2024-01-25,1003100.0,-0.5615,0.9972,"(-0.5615,0.9972)",0.2589668,0.0933549,0.0087151,0.3102,0.4548,0.2641,0.0692,0.2138
VNP13A1_001__500_m_16_days_NDVI_doy2024033_aid0001,_500_m_16_days_NDVI,aid0001,2024-02-02,1003103.0,-0.5494,0.8277,"(-0.5494,0.8277)",0.2993889,0.0718342,0.0051601,0.336,0.4479,0.2873,0.1495,0.2614
VNP13A1_001__500_m_16_days_NDVI_doy2024041_aid0001,_500_m_16_days_NDVI,aid0001,2024-02-10,1003103.0,-0.5733,0.825,"(-0.5733,0.825)",0.3027562,0.0685879,0.0047043,0.3384,0.4516,0.2886,0.1497,0.2629
VNP13A1_001__500_m_16_days_NDVI_doy2024049_aid0001,_500_m_16_days_NDVI,aid0001,2024-02-18,1003103.0,-0.6037,0.8318,"(-0.6037,0.8318)",0.3035611,0.067468,0.0045519,0.3387,0.4533,0.2871,0.1477,0.2623
VNP13A1_001__500_m_16_days_NDVI_doy2024057_aid0001,_500_m_16_days_NDVI,aid0001,2024-02-26,1003101.0,-0.5585,0.8444,"(-0.5585,0.8444)",0.3170382,0.0735285,0.0054064,0.3583,0.4918,0.2972,0.1358,0.2693
VNP13A1_001__500_m_16_days_NDVI_doy2024065_aid0001,_500_m_16_days_NDVI,aid0001,2024-03-05,1003098.0,-0.6595,0.8919,"(-0.6595,0.8919)",0.329778,0.0824754,0.0068022,0.3783,0.5367,0.3053,0.1143,0.2727
VNP13A1_001__500_m_16_days_NDVI_doy2024073_aid0001,_500_m_16_days_NDVI,aid0001,2024-03-13,1003100.0,-0.6595,0.8919,"(-0.6595,0.8919)",0.3284711,0.0885699,0.0078446,0.3792,0.544,0.3038,0.1045,0.2693
VNP13A1_001__500_m_16_days_NDVI_doy2024081_aid0001,_500_m_16_days_NDVI,aid0001,2024-03-21,1003102.0,-0.5722,0.9135,"(-0.5722,0.9135)",0.3329855,0.0935237,0.0087467,0.387,0.562,0.3069,0.0953,0.2703
VNP13A1_001__500_m_16_days_NDVI_doy2024089_aid0001,_500_m_16_days_NDVI,aid0001,2024-03-29,1003097.0,-0.5645,0.9537,"(-0.5645,0.9537)",0.3551725,0.1087778,0.0118326,0.4197,0.6333,0.3211,0.0639,0.2773
VNP13A1_001__500_m_16_days_NDVI_doy2024097_aid0001,_500_m_16_days_NDVI,aid0001,2024-04-06,1003102.0,-0.5637,0.9555,"(-0.5637,0.9555)",0.3763496,0.1165593,0.0135861,0.4485,0.6867,0.3435,0.0517,0.2897
VNP13A1_001__500_m_16_days_NDVI_doy2024105_aid0001,_500_m_16_days_NDVI,aid0001,2024-04-14,1003101.0,-0.4268,0.9555,"(-0.4268,0.9555)",0.4015713,0.1371294,0.0188045,0.4937,0.7913,0.3612,-0.0021,0.2953
VNP13A1_001__500_m_16_days_NDVI_doy2024113_aid0001,_500_m_16_days_NDVI,aid0001,2024-04-22,1003099.0,-0.4725,0.998,"(-0.4725,0.998)",0.4568223,0.1626766,0.0264637,0.5826,0.9687,0.4089,-0.0614,0.325
VNP13A1_001__500_m_16_days_NDVI_doy2024121_aid0001,_500_m_16_days_NDVI,aid0001,2024-04-30,1003100.0,-0.4725,0.9363,"(-0.4725,0.9363)",0.4631437,0.1659197,0.0275293,0.5959,0.9363,0.4158,-0.0784,0.3259
VNP13A1_001__500_m_16_days_NDVI_doy2024129_aid0001,_500_m_16_days_NDVI,aid0001,2024-05-08,1003098.0,-0.3971,0.9406,"(-0.3971,0.9406)",0.4835202,0.1795397,0.0322345,0.6248,0.9406,0.4356,-0.1067,0.3322
VNP13A1_001__500_m_16_days_NDVI_doy2024137_aid0001,_500_m_16_days_NDVI,aid0001,2024-05-16,1003108.0,-0.4235,0.9499,"(-0.4235,0.9499)",0.508954,0.1860232,0.0346046,0.6565,0.9499,0.4601,-0.0963,0.3553
VNP13A1_001__500_m_16_days_NDVI_doy2024145_aid0001,_500_m_16_days_NDVI,aid0001,2024-05-24,1003100.0,-0.4537,0.9892,"(-0.4537,0.9892)",0.5458135,0.1726236,0.0297989,0.6816,0.9892,0.506,-0.0098,0.405
